author,title,date_publication,nb_tokens,src
Nube,LeLampalagua,1928,1653,https://gallica.bnf.fr/ark:/12148/bpt6k9116126s/f3.item#
OMonroy,LeConstatElectrique,1891,1573,https://gallica.bnf.fr/ark:/12148/bpt6k659315
Oudot,LaGrandeEpreuve,1912,1088,https://gallica.bnf.fr/ark:/12148/bpt6k46304755
Paquin,LaCiteDansLesFers,1926,57206,https://archive.org/stream/lacitedanslesfer00paqu#page/n0/mode/2up
Parville,UnHabitantDeLaPlaneteMars,1865,42774,https://gallica.bnf.fr/ark:/12148/bpt6k82263j
Patrice,AuPoleEnBallonVoyage,1885,92474,https://gallica.bnf.fr/ark:/12148/bpt6k8631033k
Pawlowski,LaFailliteDeLaScience,1899,468,https://gallica.bnf.fr/ark:/12148/bpt6k7622562v/f1.item
Pawlowski,UnVisionnaire,1908,1287,https://gallica.bnf.fr/ark:/12148/bpt6k76460729/f1.item
Pellerin,LeMondeDansDeuxMilleAns,1878,67369,https://gallica.bnf.fr/ark:/12148/bpt6k83212w
Pericard,EtesVousMacaisteHistoireMartienne,1920,936,https://gallica.bnf.fr/ark:/12148/bpt6k573218h/f2.image
Peslouan,LEtrangeMenaceDuProfesseurIouchkoff,1931,15812,https://gallica.bnf.fr/ark:/12148/bpt6k5868717r/f113.image
Petithuguenin,UneMissionInternationalDansLaLune,1926,33611,https://gallica.bnf.fr/ark:/12148/bpt6k9402237
Pig,LaFemmeArtificielle,1887,19521,https://gallica.bnf.fr/ark:/12148/bpt6k68630q
Polane,LaFinDuMonde,1913,1142,http://archeosf.publie.net/la-fin-du-monde-jean-de-polane/
Prat,VoyagesEtAventuresDAlmanarre,1876,81754,https://gallica.bnf.fr/ark:/12148/bpt6k5829015q
Price,LaMineDOrInfernale,1920,72343,https://gallica.bnf.fr/ark:/12148/bpt6k54750169
Price,LesChasseursDEpaves,1898,92713,https://gallica.bnf.fr/ark:/12148/bpt6k57731108/f10.image.r=
Price,LesHuitCentsDoublonsDeSpringfield,1895,14661,https://gallica.bnf.fr/ark:/12148/bpt6k57425961
Price,LesTroisDisparusDuSirius,1896,57850,https://gallica.bnf.fr/ark:/12148/bpt6k5600660s
Quirielle,LesVoleursDeCerveaux,1920,45496,https://gallica.bnf.fr/ark:/12148/bpt6k65484931
Rameau,InTheWorld,1930,1628,https://gallica.bnf.fr/ark:/12148/bpt6k76296342
Rameau,LaVieElectrique,1887,958,https://gallica.bnf.fr/ark:/12148/bpt6k81047h
Rameau,MoeursFutures,1887,850,https://gallica.bnf.fr/ark:/12148/bpt6k81047h
Rameau,UnEmpoisonnementAuXXIeSiecle,1887,1098,https://gallica.bnf.fr/ark:/12148/bpt6k81047h
Renard,Avenir,1927,972,https://gallica.bnf.fr/ark:/12148/bpt6k5758521/f4.item
Renard,LaMerveilleuseEnigme,1928,1151,https://gallica.bnf.fr/ark:/12148/bpt6k576103s/f4.item
Renard,LAn2000,1938,1065,https://gallica.bnf.fr/ark:/12148/bpt6k5859084/f8.item
Renard,LesMainsDOrlac,1920,78860,https://www.ebooksgratuits.com/html/renard_mains_d_orlac.html
Revoil,LArbreAnthropophageSouvenirsDeMadagascar,1878,2306,https://gallica.bnf.fr/ark:/12148/bpt6k1045576/f129.image.r=
Richepin,LaCiteDesGemmes,1896,1953,https://gallica.bnf.fr/ark:/12148/bpt6k113364r
Richepin,LAileRomanDesTempsNouveaux,1911,93749,https://gallica.bnf.fr/ark:/12148/bpt6k54529803
Richepin,LaRitournelle,1891,1317,https://gallica.bnf.fr/ark:/12148/bpt6k7527842f/f1.item
Richepin,LeDernierInventeur,1889,1466,https://gallica.bnf.fr/ark:/12148/bpt6k7538311r/f1.image
Richepin,LeNouvelExplosif,1900,1480,https://gallica.bnf.fr/ark:/12148/bpt6k113364r
Richepin,LePerroquet,1896,1870,https://gallica.bnf.fr/ark:/12148/bpt6k113364r/f4.image#
Richepin,UnLegs,1899,1700,https://gallica.bnf.fr/ark:/12148/bpt6k113364r/f4.image
Richepin,VieuxNeuf,1899,1296,https://gallica.bnf.fr/ark:/12148/bpt6k80661g/f216.image
Robida,JadisChezAujourdhui,1892,10131,http://archeosf.publie.net/tag/jadis-chez-aujourdhui/
Robida,LAutomobilismeEn1950,1908,866,https://gallica.bnf.fr/ark:/12148/bpt6k57753503/f12.image
Robida,LeVingtiemeSiecle,1883,111293,https://gallica.bnf.fr/ark:/12148/bpt6k6557894s
Rod,LAutopsieDuDocteurZ,1884,8220,https://ebooks-bnr.com/rod-edouard-lautopsie-du-docteur-z/
Roger,AventuresExtraordinairesDeTrinitusVoyageSousLesFlotsRedigeDApresLeJournalDeBordDeLEclair,1868,44358,https://gallica.bnf.fr/ark:/12148/bpt6k56866099
Rosny,LaContreeProdigieuseDesCavernes,1896,8321,https://gallica.bnf.fr/ark:/12148/bpt6k104052r
Rosny,LaForceMysterieuse,1913,39354,https://fr.wikisource.org/wiki/La_Force_myst%C3%A9rieuse
Rosny,LaMortDeLaTerre,1910,23992,"https://fr.wikisource.org/wiki/Livre:Rosny_a%C3%AEn%C3%A9_-_La_Mort_de_la_Terre_-_Contes,_Plon,_1912.djvu"
Rosny,LesXipehuz,1887,9585,https://fr.wikisource.org/wiki/Les_Xipéhuz/Édition_Albert_Savine_1888
Rosny,Nymphee,1893,11168,https://gallica.bnf.fr/ark:/12148/bpt6k370755/f25.item
Rosny,Tornadres,1888,4325,https://gallica.bnf.fr/ark:/12148/bpt6k16491v/f186.item
Rosny,UnAutreMonde,1895,10859,https://gallica.bnf.fr/ark:/12148/bpt6k207976s/f3.item
Roulier,LaGrandeDecouverteDuSavantIsobard,1938,1823,https://ebooks-bnr.com/rod-edouard-lautopsie-du-docteur-z/
Rouzade,VoyageDeTheodoseALIleDUtopie,1872,34377,https://gallica.bnf.fr/ark:/12148/bpt6k832090
Royet,ADeuxDoigtsDeLaFinDuMonde,1928,49727,https://gallica.bnf.fr/ark:/12148/bpt6k147888b
Schwob,LaMachineAParler,1891,1486,https://gallica.bnf.fr/ark:/12148/bpt6k1045574v/f195.image#
Semant,LeDernierRaidDeNellySanderson,1906,104981,https://gallica.bnf.fr/ark:/12148/bpt6k1412802m
Silvestre,LAntiposterite,1887,1562,https://gallica.bnf.fr/ark:/12148/bpt6k62300h/f73.image
Silvestre,LeLunium,1888,1248,https://gallica.bnf.fr/ark:/12148/bpt6k62300h/f7.item
Silvestre,LeSecretDuDocteur,1880,1772,https://gallica.bnf.fr/ark:/12148/bpt6k7519104p/f1.item
Silvestre,LeStigmate,1887,2037,https://gallica.bnf.fr/ark:/12148/bpt6k622994/f77.image
Silvestre,Mamillana,1888,1638,https://gallica.bnf.fr/ark:/12148/bpt6k7522709x/f1.item
Soudan,ATatons,1881,2669,https://gallica.bnf.fr/ark:/12148/bpt6k4062638/f226.image
Soudan,LaCometeLaLuneEtLaTerre,1884,1353,https://gallica.bnf.fr/ark:/12148/bpt6k4062638/f212.item
Soudan,ProphetiesElectriques,1884,2418,https://gallica.bnf.fr/ark:/12148/bpt6k4062638/f196.image
Tarde,FragmentDHistoireFuture,1896,22440,https://gallica.bnf.fr/ark:/12148/bpt6k83200w
Tarde,LesGeantsChauves,1871,7034,https://gallica.bnf.fr/ark:/12148/bpt6k2148265/f614.image#
Toudouze,LesSousMarinsFantomes,1921,56159,https://archive.org/details/lessousmarinsfan00touduoft
Uzanne,DansCentAns,1900,507,https://gallica.bnf.fr/ark:/12148/bpt6k5852467g/f11.item
Uzanne,LaFinDesLivres,1895,5458,https://gallica.bnf.fr/ark:/12148/bpt6k123180j/f140.image
Valona,ConfreresEnnemis,1896,17954,https://gallica.bnf.fr/ark:/12148/bpt6k116376p/f23.item
Vautel,LaVieEnNoir,1919,2133,https://gallica.bnf.fr/ark:/12148/bpt6k102972p/f351.image
Vautel,LeFeminismeEn1958,1918,2838,https://gallica.bnf.fr/ark:/12148/bpt6k1029690/f503.item.r=%22le%20f%C3%A9minisme%20en%201958%22
Verne,AutourDeLaLune,1870,59126,https://gallica.bnf.fr/ark:/12148/bpt6k9612400j
Verne,AuXXIXeSiecleLaJourneeDUnJournalisteAmericainEn2889,1889,5796,https://fr.wikisource.org/wiki/Au_XXIXe_siècle
Verne,CinqSemainesEnBallon,1863,84960,https://gallica.bnf.fr/ark:/12148/bpt6k6572136x
Verne,ClaudiusBombarnac,1892,79668,https://gallica.bnf.fr/ark:/12148/bpt6k6578040b
Verne,FaceAuDrapeau,1892,64183,https://gallica.bnf.fr/ark:/12148/bpt6k58048213
Verne,LaChasseAuMeteore,1908,135524,https://gallica.bnf.fr/ark:/12148/bpt6k6517517v
Verne,LaFantaisieDuDocteurOx,1872,20302,http://beq.ebooksgratuits.com/vents/Verne-ox.pdf
Verne,LaMaisonAVapeur,1880,125593,https://gallica.bnf.fr/ark:/12148/bpt6k80267f/f3.image
Verne,LesCinqCentsMillionsDeLaBegum,1879,54911,https://gallica.bnf.fr/ark:/12148/bpt6k57861144
Verne,LeSphinxDesGlaces,1897,126247,https://gallica.bnf.fr/ark:/12148/bpt6k58069672
Verne,LIleAHelice,1895,123053,https://gallica.bnf.fr/ark:/12148/bpt6k6133811r
Verne,LInvasionDeLaMer,1905,63905,https://gallica.bnf.fr/ark:/12148/bpt6k96076223
Verne,MaitreDuMonde,1904,52800,https://gallica.bnf.fr/ark:/12148/bpt6k6568676r
Verne,ParisAuXXeSiecle,1863,48789,https://archive.org/details/parisauxxesiecle0000vern/page/10/mode/2up
Verne,RoburLeConquerant,1886,62864,http://fr.wikisource.org/wiki/Robur_le_conqu%C3%A9rant/Texte_entier
Verne,SansDessusDessous,1889,51445,https://gallica.bnf.fr/ark:/12148/bpt6k6514209b
Verne,UnExpressDeLAvenir,1888,1615,https://gallica.bnf.fr/ark:/12148/bpt6k2724577/f2.item
Verne,VingtMilleLieuesSousLesMers,1869,149934,https://gallica.bnf.fr/ark:/12148/btv1b8600258f
Verne,VoyageAuCentreDeLaTerre,1864,71909,https://gallica.bnf.fr/ark:/12148/bpt6k1340157
Verne,VoyagesEtAventuresDuCapitaineHatteras,1867,141668,https://gallica.bnf.fr/ark:/12148/bpt6k5691624q
Veron,EncoreLaFinDuMonde,1888,946,https://gallica.bnf.fr/ark:/12148/bpt6k5727601w/f10.image
Veron,LeDelugeAParis,1861,1502,https://gallica.bnf.fr/ark:/12148/bpt6k2412800/f3.image
Veron,LeJournalDuDernierRobinson,1861,1680,https://gallica.bnf.fr/ark:/12148/bpt6k2412800
Veron,LeRaccommodeurDeCervelles,1888,2479,https://gallica.bnf.fr/ark:/12148/bpt6k68903n/f42.image
